origin_date_first,target_date,actual_first,persistence_first,arima_first,vs_first,actual_second,persistence_second,arima_second,vs_second,ensemble_second,actual_parity,parity_second
2026-03-15,2026-03-22,7.57,7.35,7.504428639109613,1.2910098080573442,7.57,7.35,7.504159994619616,7.369853839975931,7.46386814822651,7.57,7.524433391191728
2026-03-22,2026-03-29,7.58,7.57,7.643857175226338,2.213231720382544,7.58,7.57,7.643728693078947,7.581961066740763,7.625198405177492,7.58,7.688656349596438
2026-03-29,2026-04-05,7.58,7.58,7.583357144328469,1.1864908045354954,7.58,7.58,7.583351304230861,7.585611856168804,7.5840294698122435,7.58,7.57423952830013
2026-04-05,2026-04-12,7.51,7.58,7.58,1.7141047941150938,7.51,7.58,7.58,7.581238228476112,7.580371468542833,7.51,7.567696138339693
2026-04-12,2026-04-19,7.38,7.51,7.486499989700711,1.6779949391375768,7.38,7.51,7.486540870383971,7.506824338066522,7.492625910688736,7.38,7.436255717329
2026-04-19,2026-04-26,7.28,7.38,7.336357123729892,1.751877880983986,7.28,7.38,7.336433044998804,7.371081323816902,7.3468275286442335,7.28,7.302833468067944
2026-04-26,2026-05-03,7.24,7.28,7.246428556715301,2.2374493557154342,7.24,7.28,7.246486957691388,7.270096186024366,7.253569726191281,7.24,7.28960624395331
2026-05-03,2026-05-10,7.2,7.24,7.226571422686121,2.164148717358207,7.2,7.24,7.226594783076555,7.234283156168694,7.228901295004197,7.2,7.229496014659614
2026-05-10,2026-05-17,7.16,7.2,7.186571422686121,2.091076449192286,7.16,7.2,7.18412860816291,7.192187129673788,7.186546164616173,7.16,7.177638137779875
2026-05-17,2026-05-24,7.13,7.16,7.146571422686121,4.354525936973458,7.13,7.16,7.14412860816291,7.153428395808299,7.1469185444565255,7.13,7.16663269759581
2026-05-24,2026-05-31,7.12,7.13,7.118084282221961,3.14250271933737,7.12,7.13,7.118096456122182,7.124948394248354,7.120152037560034,7.12,7.105012617933338
2026-05-31,2026-06-07,7.11,7.12,7.116028094073988,2.7604447515075368,7.11,7.12,7.116032152040727,7.117422051380295,7.116449121842598,7.11,7.092642812565319
2026-06-07,2026-06-14,7.09,7.11,7.106028094073987,3.634541451356926,7.09,7.11,7.106032152040728,7.107496379663127,7.106471420327447,7.09,7.113978108196987
2026-06-14,2026-06-21,7.05,7.09,7.082056188147974,3.924785947675061,7.05,7.09,7.082064304081454,7.086354658832643,7.08335141050681,7.05,7.066482356957841
2026-06-21,2026-06-28,7.02,7.05,7.0341123762959485,4.477944851368657,7.02,7.05,7.034128608162909,7.043972648433405,7.037081820244058,7.02,7.016102381860527
2026-06-28,2026-07-05,6.97,7.02,7.008084282221961,4.733636151186,6.97,7.02,7.008096456122182,7.015676226415401,7.010370387210147,6.97,7.017694250021552
2026-07-05,2026-07-12,6.94,6.97,6.950140470369936,3.15028560161763,6.94,6.97,6.950160760203636,6.965002994389944,6.954613430459528,6.94,6.950257550205174
2026-07-12,2026-07-19,6.95,6.94,6.928084282221962,4.746838270792918,6.95,6.94,6.928096456122183,6.93626126423031,6.93054589855462,6.95,6.955314670306541
2026-07-19,2026-07-26,6.95,6.95,6.9539719059260126,4.874166898371582,6.95,6.95,6.953967847959273,6.950317185625888,6.952872649259257,6.95,6.989371992709909
2026-07-26,2026-08-02,6.94,6.95,6.95,4.925927850281719,6.94,6.95,6.95,6.946682551341646,6.949004765402494,6.94,6.954381657797321
2026-08-02,2026-08-09,6.91,6.94,6.936028094073988,5.594348711690441,6.91,6.94,6.936032152040728,6.936095682796165,6.936051211267358,6.91,6.933089637969298
